job_id=605826
array_job_id=605822
array_task_id=0
job_name=vs3n2st4
partition=epyc
node_list=cent
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt001_staged_full
case_label=gauss_sigma2p000
mode=gauss
sigma=2.0
planning_estimate=staged local dt: shoulders dt/10, core dt/20, 277470 steps; 32-core benchmark gauss ~0.23 s/step near s=0.25
start_time=2026-07-09T16:31:01+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p01_staged_gauss_sigma2p000 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 20750/277470 7.5% t=101.35496 eta_s=56004.2 E=-0.99057994 P=0.79900138 dP=-0.20065751 r12=7.99625130 Vg=0.00011243 norm=1.00000000 rank=32/256 sv_max=7.36e+02 resid=1.61e-01
progress N=2 step 21000/277470 7.6% t=101.47996 eta_s=55962.3 E=-0.99008467 P=0.79874137 dP=-0.20091752 r12=7.99519155 Vg=0.00011224 norm=1.00000000 rank=32/256 sv_max=7.40e+02 resid=1.58e-01
progress N=2 step 21250/277470 7.7% t=101.60496 eta_s=55916.4 E=-0.98958994 P=0.79847221 dP=-0.20118668 r12=7.99416919 Vg=0.00011182 norm=1.00000000 rank=32/256 sv_max=7.43e+02 resid=1.50e-01
progress N=2 step 21500/277470 7.7% t=101.72996 eta_s=55867.0 E=-0.98909637 P=0.79819938 dP=-0.20145951 r12=7.99318736 Vg=0.00011178 norm=1.00000000 rank=31/256 sv_max=7.46e+02 resid=1.39e-01
progress N=2 step 21750/277470 7.8% t=101.85496 eta_s=55806.8 E=-0.98860313 P=0.79792441 dP=-0.20173448 r12=7.99225587 Vg=0.00011207 norm=1.00000000 rank=31/256 sv_max=7.49e+02 resid=1.27e-01
progress N=2 step 22000/277470 7.9% t=101.97996 eta_s=55753.6 E=-0.98811104 P=0.79764844 dP=-0.20201045 r12=7.99136445 Vg=0.00011234 norm=1.00000000 rank=32/256 sv_max=7.51e+02 resid=1.17e-01
progress N=2 step 22250/277470 8.0% t=102.10496 eta_s=55679.0 E=-0.98761943 P=0.79737123 dP=-0.20228767 r12=7.99047427 Vg=0.00011225 norm=1.00000000 rank=32/256 sv_max=7.46e+02 resid=1.12e-01
progress N=2 step 22500/277470 8.1% t=102.22996 eta_s=55625.8 E=-0.98712857 P=0.79709359 dP=-0.20256530 r12=7.98956567 Vg=0.00011178 norm=1.00000000 rank=32/256 sv_max=7.40e+02 resid=1.10e-01
progress N=2 step 22750/277470 8.2% t=102.35496 eta_s=55574.7 E=-0.98663856 P=0.79681301 dP=-0.20284588 r12=7.98864223 Vg=0.00011103 norm=1.00000000 rank=32/256 sv_max=7.41e+02 resid=1.09e-01
progress N=2 step 23000/277470 8.3% t=102.47996 eta_s=55510.7 E=-0.98614894 P=0.79652176 dP=-0.20313713 r12=7.98768059 Vg=0.00011025 norm=1.00000000 rank=31/256 sv_max=7.52e+02 resid=1.08e-01
progress N=2 step 23250/277470 8.4% t=102.60496 eta_s=55469.5 E=-0.98566061 P=0.79622255 dP=-0.20343634 r12=7.98668525 Vg=0.00010997 norm=1.00000000 rank=31/256 sv_max=7.69e+02 resid=1.06e-01
progress N=2 step 23500/277470 8.5% t=102.72996 eta_s=55426.7 E=-0.98517268 P=0.79591970 dP=-0.20373919 r12=7.98565327 Vg=0.00011046 norm=1.00000000 rank=31/256 sv_max=7.87e+02 resid=1.03e-01
progress N=2 step 23750/277470 8.6% t=102.85496 eta_s=55376.9 E=-0.98468589 P=0.79561339 dP=-0.20404550 r12=7.98458449 Vg=0.00011148 norm=1.00000000 rank=31/256 sv_max=7.97e+02 resid=1.01e-01
progress N=2 step 24000/277470 8.6% t=102.97996 eta_s=55329.0 E=-0.98419994 P=0.79529929 dP=-0.20435960 r12=7.98346735 Vg=0.00011258 norm=1.00000000 rank=31/256 sv_max=7.95e+02 resid=9.95e-02
progress N=2 step 24250/277470 8.7% t=103.10496 eta_s=55279.9 E=-0.98371483 P=0.79497235 dP=-0.20468654 r12=7.98228918 Vg=0.00011348 norm=1.00000000 rank=31/256 sv_max=7.85e+02 resid=9.92e-02
progress N=2 step 24500/277470 8.8% t=103.22996 eta_s=55233.1 E=-0.98323100 P=0.79462732 dP=-0.20503158 r12=7.98106142 Vg=0.00011385 norm=1.00000000 rank=32/256 sv_max=7.76e+02 resid=9.93e-02
progress N=2 step 24750/277470 8.9% t=103.35496 eta_s=55182.5 E=-0.98274772 P=0.79426704 dP=-0.20539185 r12=7.97979425 Vg=0.00011390 norm=1.00000000 rank=32/256 sv_max=7.73e+02 resid=9.91e-02
progress N=2 step 25000/277470 9.0% t=103.47996 eta_s=55117.0 E=-0.98226587 P=0.79389309 dP=-0.20576580 r12=7.97847827 Vg=0.00011388 norm=1.00000000 rank=32/256 sv_max=7.73e+02 resid=9.72e-02
progress N=2 step 25250/277470 9.1% t=103.60496 eta_s=55046.4 E=-0.98178463 P=0.79350797 dP=-0.20615092 r12=7.97708930 Vg=0.00011397 norm=1.00000000 rank=31/256 sv_max=7.76e+02 resid=9.35e-02
progress N=2 step 25500/277470 9.2% t=103.72996 eta_s=55000.4 E=-0.98130438 P=0.79311611 dP=-0.20654278 r12=7.97561769 Vg=0.00011410 norm=1.00000000 rank=31/256 sv_max=7.82e+02 resid=8.83e-02
