job_id=606191
array_job_id=606188
array_task_id=0
job_name=vs3n2fu2
partition=epyc
node_list=fov
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt0005_full
case_label=gauss_sigma0p750
mode=gauss
sigma=0.75
planning_estimate=full-cycle dt/20 fixed dt=0.0005, estimated 1005310 steps; 32-core estimate gauss ~64.2 h; requested walltime 96 h
start_time=2026-07-09T20:56:41+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p0005_gauss_sigma0p750 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 15750/1005310 1.6% t=7.87500 eta_s=376773.6 E=-2.06960926 P=0.96619872 dP=-0.03346017 r12=8.04647945 Vg=0.00000075 norm=1.00000000 rank=36/256 sv_max=1.01e+02 resid=9.94e-03
progress N=2 step 16000/1005310 1.6% t=8.00000 eta_s=376611.0 E=-2.06727782 P=0.96553009 dP=-0.03412880 r12=8.04646707 Vg=0.00000072 norm=1.00000000 rank=35/256 sv_max=9.71e+01 resid=1.06e-02
progress N=2 step 16250/1005310 1.6% t=8.12500 eta_s=376750.1 E=-2.06492677 P=0.96493168 dP=-0.03472721 r12=8.04643069 Vg=0.00000069 norm=1.00000000 rank=35/256 sv_max=9.96e+01 resid=1.11e-02
progress N=2 step 16500/1005310 1.6% t=8.25000 eta_s=376942.3 E=-2.06255449 P=0.96440458 dP=-0.03525431 r12=8.04636640 Vg=0.00000068 norm=1.00000000 rank=35/256 sv_max=1.04e+02 resid=1.17e-02
progress N=2 step 16750/1005310 1.7% t=8.37500 eta_s=377126.6 E=-2.06015976 P=0.96394943 dP=-0.03570946 r12=8.04627377 Vg=0.00000071 norm=1.00000000 rank=35/256 sv_max=1.03e+02 resid=1.26e-02
progress N=2 step 17000/1005310 1.7% t=8.50000 eta_s=377293.7 E=-2.05774128 P=0.96356581 dP=-0.03609308 r12=8.04616426 Vg=0.00000075 norm=1.00000000 rank=35/256 sv_max=9.74e+01 resid=1.37e-02
progress N=2 step 17250/1005310 1.7% t=8.62500 eta_s=377426.2 E=-2.05529780 P=0.96325180 dP=-0.03640709 r12=8.04606002 Vg=0.00000077 norm=1.00000000 rank=35/256 sv_max=9.57e+01 resid=1.52e-02
progress N=2 step 17500/1005310 1.7% t=8.75000 eta_s=377588.2 E=-2.05282836 P=0.96300439 dP=-0.03665451 r12=8.04597309 Vg=0.00000076 norm=1.00000000 rank=35/256 sv_max=1.01e+02 resid=1.73e-02
progress N=2 step 17750/1005310 1.8% t=8.87500 eta_s=377463.2 E=-2.05033211 P=0.96282024 dP=-0.03683865 r12=8.04590051 Vg=0.00000073 norm=1.00000000 rank=34/256 sv_max=1.04e+02 resid=1.98e-02
progress N=2 step 18000/1005310 1.8% t=9.00000 eta_s=377606.6 E=-2.04780821 P=0.96269287 dP=-0.03696602 r12=8.04583768 Vg=0.00000071 norm=1.00000000 rank=34/256 sv_max=1.00e+02 resid=2.22e-02
progress N=2 step 18250/1005310 1.8% t=9.12500 eta_s=377507.4 E=-2.04525617 P=0.96261383 dP=-0.03704506 r12=8.04578232 Vg=0.00000070 norm=1.00000000 rank=35/256 sv_max=9.46e+01 resid=2.58e-02
progress N=2 step 18500/1005310 1.8% t=9.25000 eta_s=377562.2 E=-2.04267590 P=0.96257349 dP=-0.03708540 r12=8.04573707 Vg=0.00000071 norm=1.00000000 rank=35/256 sv_max=9.64e+01 resid=3.34e-02
progress N=2 step 18750/1005310 1.9% t=9.37500 eta_s=377409.2 E=-2.04006716 P=0.96256261 dP=-0.03709628 r12=8.04570353 Vg=0.00000072 norm=1.00000000 rank=34/256 sv_max=1.05e+02 resid=4.74e-02
progress N=2 step 19000/1005310 1.9% t=9.50000 eta_s=377544.0 E=-2.03742988 P=0.96257208 dP=-0.03708681 r12=8.04567511 Vg=0.00000075 norm=1.00000000 rank=34/256 sv_max=1.08e+02 resid=6.49e-02
progress N=2 step 19250/1005310 1.9% t=9.62500 eta_s=377678.7 E=-2.03476449 P=0.96259049 dP=-0.03706840 r12=8.04564783 Vg=0.00000077 norm=1.00000000 rank=34/256 sv_max=1.02e+02 resid=7.16e-02
progress N=2 step 19500/1005310 1.9% t=9.75000 eta_s=377708.5 E=-2.03207143 P=0.96260570 dP=-0.03705319 r12=8.04563017 Vg=0.00000081 norm=1.00000000 rank=34/256 sv_max=9.48e+01 resid=5.67e-02
progress N=2 step 19750/1005310 2.0% t=9.87500 eta_s=377801.9 E=-2.02935136 P=0.96260540 dP=-0.03705349 r12=8.04563381 Vg=0.00000083 norm=1.00000000 rank=34/256 sv_max=9.66e+01 resid=4.31e-02
progress N=2 step 20000/1005310 2.0% t=10.00000 eta_s=377914.0 E=-2.02660539 P=0.96257964 dP=-0.03707925 r12=8.04566392 Vg=0.00000085 norm=1.00000000 rank=34/256 sv_max=1.04e+02 resid=3.47e-02
progress N=2 step 20250/1005310 2.0% t=10.12500 eta_s=377841.5 E=-2.02383500 P=0.96252026 dP=-0.03713864 r12=8.04571586 Vg=0.00000085 norm=1.00000000 rank=35/256 sv_max=1.07e+02 resid=2.70e-02
progress N=2 step 20500/1005310 2.0% t=10.25000 eta_s=377875.6 E=-2.02104166 P=0.96241784 dP=-0.03724105 r12=8.04578862 Vg=0.00000084 norm=1.00000000 rank=35/256 sv_max=1.03e+02 resid=2.26e-02
progress N=2 step 20750/1005310 2.1% t=10.37500 eta_s=377646.9 E=-2.01822677 P=0.96226285 dP=-0.03739604 r12=8.04588341 Vg=0.00000082 norm=1.00000000 rank=35/256 sv_max=9.72e+01 resid=1.98e-02
progress N=2 step 21000/1005310 2.1% t=10.50000 eta_s=377628.4 E=-2.01539231 P=0.96204600 dP=-0.03761289 r12=8.04599488 Vg=0.00000081 norm=1.00000000 rank=35/256 sv_max=9.84e+01 resid=1.76e-02
progress N=2 step 21250/1005310 2.1% t=10.62500 eta_s=377748.6 E=-2.01254044 P=0.96176147 dP=-0.03789742 r12=8.04611583 Vg=0.00000081 norm=1.00000000 rank=35/256 sv_max=1.03e+02 resid=1.58e-02
progress N=2 step 21500/1005310 2.1% t=10.75000 eta_s=377857.5 E=-2.00967308 P=0.96140670 dP=-0.03825219 r12=8.04624315 Vg=0.00000080 norm=1.00000000 rank=34/256 sv_max=1.03e+02 resid=1.43e-02
progress N=2 step 21750/1005310 2.2% t=10.87500 eta_s=377850.1 E=-2.00679240 P=0.96097990 dP=-0.03867899 r12=8.04638233 Vg=0.00000078 norm=1.00000000 rank=35/256 sv_max=1.00e+02 resid=1.27e-02
progress N=2 step 22000/1005310 2.2% t=11.00000 eta_s=377949.9 E=-2.00390104 P=0.96048010 dP=-0.03917879 r12=8.04653627 Vg=0.00000074 norm=1.00000000 rank=34/256 sv_max=1.00e+02 resid=1.21e-02
progress N=2 step 22250/1005310 2.2% t=11.12500 eta_s=377844.7 E=-2.00100074 P=0.95990905 dP=-0.03974985 r12=8.04670187 Vg=0.00000071 norm=1.00000000 rank=34/256 sv_max=1.05e+02 resid=1.15e-02
progress N=2 step 22500/1005310 2.2% t=11.25000 eta_s=377695.3 E=-1.99809355 P=0.95927085 dP=-0.04038805 r12=8.04686528 Vg=0.00000071 norm=1.00000000 rank=34/256 sv_max=1.07e+02 resid=1.08e-02
progress N=2 step 22750/1005310 2.3% t=11.37500 eta_s=377753.4 E=-1.99518140 P=0.95857181 dP=-0.04108708 r12=8.04701395 Vg=0.00000075 norm=1.00000000 rank=34/256 sv_max=1.03e+02 resid=1.03e-02
progress N=2 step 23000/1005310 2.3% t=11.50000 eta_s=377828.5 E=-1.99226605 P=0.95781952 dP=-0.04183937 r12=8.04714457 Vg=0.00000080 norm=1.00000000 rank=34/256 sv_max=9.73e+01 resid=9.99e-03
progress N=2 step 23250/1005310 2.3% t=11.62500 eta_s=377753.7 E=-1.98934882 P=0.95702250 dP=-0.04263639 r12=8.04726411 Vg=0.00000085 norm=1.00000000 rank=34/256 sv_max=9.87e+01 resid=9.84e-03
progress N=2 step 23500/1005310 2.3% t=11.75000 eta_s=377591.1 E=-1.98643080 P=0.95619219 dP=-0.04346670 r12=8.04737458 Vg=0.00000088 norm=1.00000000 rank=34/256 sv_max=1.06e+02 resid=9.90e-03
progress N=2 step 23750/1005310 2.4% t=11.87500 eta_s=377648.1 E=-1.98351299 P=0.95534208 dP=-0.04431681 r12=8.04747347 Vg=0.00000089 norm=1.00000000 rank=34/256 sv_max=1.08e+02 resid=9.66e-03
progress N=2 step 24000/1005310 2.4% t=12.00000 eta_s=377707.9 E=-1.98059614 P=0.95448436 dP=-0.04517454 r12=8.04756310 Vg=0.00000088 norm=1.00000000 rank=34/256 sv_max=1.02e+02 resid=9.77e-03
progress N=2 step 24250/1005310 2.4% t=12.12500 eta_s=377771.3 E=-1.97768039 P=0.95363016 dP=-0.04602873 r12=8.04764477 Vg=0.00000085 norm=1.00000000 rank=35/256 sv_max=9.78e+01 resid=1.01e-02
progress N=2 step 24500/1005310 2.4% t=12.25000 eta_s=377816.8 E=-1.97476629 P=0.95278889 dP=-0.04687000 r12=8.04772774 Vg=0.00000083 norm=1.00000000 rank=34/256 sv_max=1.02e+02 resid=1.09e-02
progress N=2 step 24750/1005310 2.5% t=12.37500 eta_s=377863.8 E=-1.97185394 P=0.95197161 dP=-0.04768729 r12=8.04780695 Vg=0.00000080 norm=1.00000000 rank=34/256 sv_max=1.10e+02 resid=1.16e-02
progress N=2 step 25000/1005310 2.5% t=12.50000 eta_s=377916.1 E=-1.96894305 P=0.95119002 dP=-0.04846887 r12=8.04787141 Vg=0.00000080 norm=1.00000000 rank=34/256 sv_max=1.11e+02 resid=1.19e-02
progress N=2 step 25250/1005310 2.5% t=12.62500 eta_s=377964.3 E=-1.96603330 P=0.95045341 dP=-0.04920548 r12=8.04791298 Vg=0.00000080 norm=1.00000000 rank=34/256 sv_max=1.04e+02 resid=1.26e-02
progress N=2 step 25500/1005310 2.5% t=12.75000 eta_s=377927.0 E=-1.96312378 P=0.94976897 dP=-0.04988992 r12=8.04792821 Vg=0.00000081 norm=1.00000000 rank=34/256 sv_max=9.83e+01 resid=1.34e-02
progress N=2 step 25750/1005310 2.6% t=12.87500 eta_s=377974.9 E=-1.96021373 P=0.94914249 dP=-0.05051641 r12=8.04791258 Vg=0.00000081 norm=1.00000000 rank=34/256 sv_max=1.03e+02 resid=1.40e-02
