job_id=605827
array_job_id=605823
array_task_id=0
job_name=vs3n2st3
partition=epyc
node_list=doom
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt001_staged_full
case_label=gauss_sigma1p250
mode=gauss
sigma=1.25
planning_estimate=staged local dt: shoulders dt/10, core dt/20, 277470 steps; 32-core benchmark gauss ~0.23 s/step near s=0.25
start_time=2026-07-09T16:31:01+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p01_staged_gauss_sigma1p250 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 19500/277470 7.0% t=100.72996 eta_s=53594.0 E=-0.99286114 P=0.79974914 dP=-0.19990975 r12=8.03383473 Vg=0.00001147 norm=1.00000000 rank=29/256 sv_max=1.91e+03 resid=1.54e-01
progress N=2 step 19750/277470 7.1% t=100.85496 eta_s=53547.8 E=-0.99236346 P=0.79949166 dP=-0.20016723 r12=8.03344115 Vg=0.00001159 norm=1.00000000 rank=29/256 sv_max=1.92e+03 resid=1.53e-01
progress N=2 step 20000/277470 7.2% t=100.97996 eta_s=53505.7 E=-0.99186621 P=0.79923636 dP=-0.20042253 r12=8.03303560 Vg=0.00001171 norm=1.00000000 rank=29/256 sv_max=1.93e+03 resid=1.53e-01
progress N=2 step 20250/277470 7.3% t=101.10496 eta_s=53456.6 E=-0.99137028 P=0.79898040 dP=-0.20067849 r12=8.03262163 Vg=0.00001185 norm=1.00000000 rank=29/256 sv_max=1.94e+03 resid=1.52e-01
progress N=2 step 20500/277470 7.4% t=101.22996 eta_s=53414.9 E=-0.99087483 P=0.79872138 dP=-0.20093751 r12=8.03220235 Vg=0.00001198 norm=1.00000000 rank=29/256 sv_max=1.94e+03 resid=1.51e-01
progress N=2 step 20750/277470 7.5% t=101.35496 eta_s=53370.9 E=-0.99038030 P=0.79845745 dP=-0.20120145 r12=8.03178046 Vg=0.00001210 norm=1.00000000 rank=29/256 sv_max=1.95e+03 resid=1.50e-01
progress N=2 step 21000/277470 7.6% t=101.47996 eta_s=53298.0 E=-0.98988657 P=0.79818733 dP=-0.20147156 r12=8.03135780 Vg=0.00001221 norm=1.00000000 rank=29/256 sv_max=1.95e+03 resid=1.50e-01
progress N=2 step 21250/277470 7.7% t=101.60496 eta_s=53240.4 E=-0.98939336 P=0.79791028 dP=-0.20174861 r12=8.03093463 Vg=0.00001231 norm=1.00000000 rank=29/256 sv_max=1.96e+03 resid=1.49e-01
progress N=2 step 21500/277470 7.7% t=101.72996 eta_s=53195.0 E=-0.98890129 P=0.79762607 dP=-0.20203282 r12=8.03050892 Vg=0.00001239 norm=1.00000000 rank=29/256 sv_max=1.96e+03 resid=1.49e-01
progress N=2 step 21750/277470 7.8% t=101.85496 eta_s=53142.2 E=-0.98840953 P=0.79733488 dP=-0.20232401 r12=8.03007597 Vg=0.00001246 norm=1.00000000 rank=29/256 sv_max=1.97e+03 resid=1.49e-01
progress N=2 step 22000/277470 7.9% t=101.97996 eta_s=53085.3 E=-0.98791889 P=0.79703726 dP=-0.20262163 r12=8.02962864 Vg=0.00001254 norm=1.00000000 rank=29/256 sv_max=1.97e+03 resid=1.49e-01
progress N=2 step 22250/277470 8.0% t=102.10496 eta_s=53043.3 E=-0.98742875 P=0.79673394 dP=-0.20292495 r12=8.02915798 Vg=0.00001261 norm=1.00000000 rank=29/256 sv_max=1.97e+03 resid=1.50e-01
progress N=2 step 22500/277470 8.1% t=102.22996 eta_s=53004.0 E=-0.98693936 P=0.79642571 dP=-0.20323318 r12=8.02865434 Vg=0.00001270 norm=1.00000000 rank=29/256 sv_max=1.97e+03 resid=1.51e-01
progress N=2 step 22750/277470 8.2% t=102.35496 eta_s=52958.4 E=-0.98645084 P=0.79611329 dP=-0.20354560 r12=8.02810847 Vg=0.00001282 norm=1.00000000 rank=29/256 sv_max=1.98e+03 resid=1.52e-01
progress N=2 step 23000/277470 8.3% t=102.47996 eta_s=52918.2 E=-0.98596273 P=0.79579727 dP=-0.20386162 r12=8.02751243 Vg=0.00001295 norm=1.00000000 rank=29/256 sv_max=1.98e+03 resid=1.53e-01
progress N=2 step 23250/277470 8.4% t=102.60496 eta_s=52870.2 E=-0.98547589 P=0.79547818 dP=-0.20418071 r12=8.02686025 Vg=0.00001310 norm=1.00000000 rank=29/256 sv_max=1.99e+03 resid=1.55e-01
progress N=2 step 23500/277470 8.5% t=102.72996 eta_s=52829.2 E=-0.98498941 P=0.79515659 dP=-0.20450230 r12=8.02614815 Vg=0.00001327 norm=1.00000000 rank=29/256 sv_max=2.00e+03 resid=1.57e-01
progress N=2 step 23750/277470 8.6% t=102.85496 eta_s=52788.5 E=-0.98450399 P=0.79483316 dP=-0.20482573 r12=8.02537479 Vg=0.00001345 norm=1.00000000 rank=29/256 sv_max=2.00e+03 resid=1.59e-01
progress N=2 step 24000/277470 8.6% t=102.97996 eta_s=52741.1 E=-0.98401926 P=0.79450868 dP=-0.20515021 r12=8.02454142 Vg=0.00001365 norm=1.00000000 rank=29/256 sv_max=2.01e+03 resid=1.61e-01
progress N=2 step 24250/277470 8.7% t=103.10496 eta_s=52699.2 E=-0.98353521 P=0.79418404 dP=-0.20547485 r12=8.02365201 Vg=0.00001384 norm=1.00000000 rank=29/256 sv_max=2.02e+03 resid=1.64e-01
progress N=2 step 24500/277470 8.8% t=103.22996 eta_s=52652.3 E=-0.98305227 P=0.79386016 dP=-0.20579873 r12=8.02271314 Vg=0.00001403 norm=1.00000000 rank=29/256 sv_max=2.02e+03 resid=1.66e-01
progress N=2 step 24750/277470 8.9% t=103.35496 eta_s=52601.7 E=-0.98256972 P=0.79353792 dP=-0.20612097 r12=8.02173372 Vg=0.00001422 norm=1.00000000 rank=29/256 sv_max=2.03e+03 resid=1.68e-01
progress N=2 step 25000/277470 9.0% t=103.47996 eta_s=52542.5 E=-0.98208848 P=0.79321813 dP=-0.20644076 r12=8.02072421 Vg=0.00001440 norm=1.00000000 rank=29/256 sv_max=2.03e+03 resid=1.70e-01
progress N=2 step 25250/277470 9.1% t=103.60496 eta_s=52495.5 E=-0.98160773 P=0.79290146 dP=-0.20675743 r12=8.01969566 Vg=0.00001457 norm=1.00000000 rank=29/256 sv_max=2.03e+03 resid=1.72e-01
progress N=2 step 25500/277470 9.2% t=103.72996 eta_s=52453.2 E=-0.98112789 P=0.79258845 dP=-0.20707044 r12=8.01865846 Vg=0.00001474 norm=1.00000000 rank=29/256 sv_max=2.03e+03 resid=1.74e-01
progress N=2 step 25750/277470 9.3% t=103.85496 eta_s=52391.4 E=-0.98064893 P=0.79227939 dP=-0.20737950 r12=8.01762125 Vg=0.00001490 norm=1.00000000 rank=29/256 sv_max=2.03e+03 resid=1.76e-01
progress N=2 step 26000/277470 9.4% t=103.97996 eta_s=52314.1 E=-0.98017046 P=0.79197442 dP=-0.20768447 r12=8.01658995 Vg=0.00001506 norm=1.00000000 rank=29/256 sv_max=2.02e+03 resid=1.78e-01
