job_id=605824
array_job_id=605824
array_task_id=1
job_name=vs3n2st2
partition=epyc
node_list=fov
excluded_nodes=bar
workdir=/home/gyqyan/zexuan/ecg1d_code/1D_thouless_pumping
cpus_per_task=32
mem_per_node=16384
binary=./build/ecg1d_vs3_n2_dt001_staged_full
case_label=gauss_sigma1p000
mode=gauss
sigma=1.0
planning_estimate=staged local dt: shoulders dt/10, core dt/20, 277470 steps; 32-core benchmark gauss ~0.23 s/step near s=0.25
start_time=2026-07-09T16:31:40+08:00
config=legacy_prb_3_3_n2_pathpad_K32_dt0p01_staged_gauss_sigma1p000 lambda_C=1.00e-08 rcond=1.00e-04 | TDVP param dimension=256
progress N=2 step 12250/277470 4.4% t=93.67987 eta_s=56600.0 E=-1.02054088 P=0.82165326 dP=-0.17800563 r12=7.95574444 Vg=0.00000533 norm=1.00000000 rank=30/256 sv_max=7.02e+02 resid=3.45e-01
progress N=2 step 12500/277470 4.5% t=93.92987 eta_s=56579.6 E=-1.01942228 P=0.82118995 dP=-0.17846894 r12=7.95506130 Vg=0.00000605 norm=1.00000000 rank=30/256 sv_max=6.87e+02 resid=3.37e-01
progress N=2 step 12750/277470 4.6% t=94.17987 eta_s=56556.7 E=-1.01830722 P=0.82082551 dP=-0.17883339 r12=7.95454130 Vg=0.00000631 norm=1.00000000 rank=30/256 sv_max=6.81e+02 resid=3.71e-01
progress N=2 step 13000/277470 4.7% t=94.42987 eta_s=56534.1 E=-1.01719578 P=0.82051875 dP=-0.17914014 r12=7.95419894 Vg=0.00000618 norm=1.00000000 rank=30/256 sv_max=7.13e+02 resid=4.14e-01
progress N=2 step 13250/277470 4.8% t=94.67987 eta_s=56510.5 E=-1.01608805 P=0.82022831 dP=-0.17943058 r12=7.95404893 Vg=0.00000605 norm=1.00000000 rank=30/256 sv_max=7.23e+02 resid=4.11e-01
progress N=2 step 13500/277470 4.9% t=94.92987 eta_s=56446.0 E=-1.01498425 P=0.81995780 dP=-0.17970109 r12=7.95407659 Vg=0.00000621 norm=1.00000000 rank=29/256 sv_max=7.04e+02 resid=4.05e-01
progress N=2 step 13750/277470 5.0% t=95.17987 eta_s=56396.6 E=-1.01388383 P=0.81970293 dP=-0.17995596 r12=7.95435730 Vg=0.00000651 norm=1.00000000 rank=29/256 sv_max=7.10e+02 resid=4.17e-01
progress N=2 step 14000/277470 5.0% t=95.42987 eta_s=56348.1 E=-1.01278653 P=0.81941005 dP=-0.18024884 r12=7.95488113 Vg=0.00000677 norm=1.00000000 rank=29/256 sv_max=7.36e+02 resid=3.92e-01
progress N=2 step 14250/277470 5.1% t=95.67987 eta_s=56312.0 E=-1.01169246 P=0.81904783 dP=-0.18061106 r12=7.95545806 Vg=0.00000715 norm=1.00000000 rank=29/256 sv_max=7.37e+02 resid=3.33e-01
progress N=2 step 14500/277470 5.2% t=95.92987 eta_s=56282.0 E=-1.01060162 P=0.81863387 dP=-0.18102502 r12=7.95588456 Vg=0.00000771 norm=1.00000000 rank=29/256 sv_max=7.18e+02 resid=2.99e-01
progress N=2 step 14750/277470 5.3% t=96.17987 eta_s=56244.6 E=-1.00951382 P=0.81818905 dP=-0.18146984 r12=7.95602963 Vg=0.00000820 norm=1.00000000 rank=29/256 sv_max=7.16e+02 resid=2.76e-01
progress N=2 step 15000/277470 5.4% t=96.42987 eta_s=56210.2 E=-1.00842888 P=0.81769692 dP=-0.18196197 r12=7.95587117 Vg=0.00000846 norm=1.00000000 rank=29/256 sv_max=7.23e+02 resid=2.48e-01
progress N=2 step 15250/277470 5.5% t=96.67987 eta_s=56174.7 E=-1.00734683 P=0.81714514 dP=-0.18251375 r12=7.95544096 Vg=0.00000865 norm=1.00000000 rank=29/256 sv_max=7.15e+02 resid=2.31e-01
progress N=2 step 15500/277470 5.6% t=96.92987 eta_s=56138.8 E=-1.00626782 P=0.81655869 dP=-0.18310020 r12=7.95477305 Vg=0.00000895 norm=1.00000000 rank=30/256 sv_max=7.00e+02 resid=2.36e-01
progress N=2 step 15750/277470 5.7% t=97.17987 eta_s=56101.3 E=-1.00519229 P=0.81596377 dP=-0.18369512 r12=7.95393862 Vg=0.00000929 norm=1.00000000 rank=30/256 sv_max=7.03e+02 resid=2.44e-01
progress N=2 step 16000/277470 5.8% t=97.42987 eta_s=56058.4 E=-1.00412020 P=0.81535725 dP=-0.18430164 r12=7.95302062 Vg=0.00000936 norm=1.00000000 rank=30/256 sv_max=7.11e+02 resid=2.39e-01
progress N=2 step 16250/277470 5.9% t=97.67987 eta_s=55983.7 E=-1.00305205 P=0.81473405 dP=-0.18492484 r12=7.95208069 Vg=0.00000919 norm=1.00000000 rank=29/256 sv_max=7.11e+02 resid=2.29e-01
progress N=2 step 16500/277470 5.9% t=97.92987 eta_s=55894.1 E=-1.00198822 P=0.81409904 dP=-0.18555985 r12=7.95114593 Vg=0.00000909 norm=1.00000000 rank=29/256 sv_max=7.17e+02 resid=2.18e-01
progress N=2 step 16750/277470 6.0% t=98.17987 eta_s=55827.7 E=-1.00092885 P=0.81346145 dP=-0.18619744 r12=7.95017373 Vg=0.00000921 norm=1.00000000 rank=29/256 sv_max=7.29e+02 resid=2.03e-01
progress N=2 step 17000/277470 6.1% t=98.42987 eta_s=55791.2 E=-0.99987385 P=0.81282037 dP=-0.18683853 r12=7.94913256 Vg=0.00000943 norm=1.00000000 rank=29/256 sv_max=7.41e+02 resid=1.85e-01
progress N=2 step 17250/277470 6.2% t=98.67987 eta_s=55754.0 E=-0.99882318 P=0.81212923 dP=-0.18752966 r12=7.94806570 Vg=0.00000966 norm=1.00000000 rank=29/256 sv_max=7.60e+02 resid=1.75e-01
